Tasks,group_pair,Model,auc,ci_lower,ci_upper,std,gate_audio
All Tasks,AD vs FTD,Classic Audio,0.606033142298636,0.5406343980643417,0.6726130161155761,0.0,
All Tasks,AD vs FTD,Classic Lang,0.6698834540257971,0.6076738934056007,0.7304725557502811,0.0,
All Tasks,AD vs FTD,Classic Combined,0.6436841559672428,0.5808569309411412,0.7042051806263694,0.0,
All Tasks,AD vs FTD,Classic Fusion (GMU),0.648222488782265,0.5887033843144511,0.7091287719834205,0.0,0.5009627342224121
All Tasks,AD vs FTD,WavLM,0.5710941378016656,0.5459209462484388,0.5971987267520071,0.0,
All Tasks,AD vs FTD,RoBERTa,0.593030975035075,0.566291363628508,0.6198206115739264,0.0,
All Tasks,AD vs FTD,Fusion (GMU),0.5944593411882797,0.5698615132772236,0.6203777749708352,0.0,0.439539298415184
All Tasks,CN vs AD,Classic Audio,0.7873037037037037,0.7455178206028293,0.8293734788359788,0.0,
All Tasks,CN vs AD,Classic Lang,0.8536493827160494,0.818583829285884,0.8862597587269132,0.0,
All Tasks,CN vs AD,Classic Combined,0.8659950617283951,0.8332186287148166,0.8982213660595177,0.0,
All Tasks,CN vs AD,Classic Fusion (GMU),0.8682469135802469,0.8347218625311463,0.8999401311004182,0.0,0.5005748867988586
All Tasks,CN vs AD,WavLM,0.7245606739747126,0.7060261341095142,0.7443532640079988,0.0,
All Tasks,CN vs AD,RoBERTa,0.7660505786139079,0.7489527793522417,0.7838506177637323,0.0,
All Tasks,CN vs AD,Fusion (GMU),0.7712228571351272,0.7540485050165608,0.7884436632354639,0.0,0.3758449256420135
All Tasks,CN vs FTD,Classic Audio,0.7845335939698195,0.7342463748299606,0.8332068076881234,0.0,
All Tasks,CN vs FTD,Classic Lang,0.8552054733662091,0.8133834929320565,0.894321598593899,0.0,
All Tasks,CN vs FTD,Classic Combined,0.8469726183600634,0.8025280713229064,0.8871141975308642,0.0,
All Tasks,CN vs FTD,Classic Fusion (GMU),0.8573272913057,0.8150285044247454,0.8966602215849699,0.0,0.5032059550285339
All Tasks,CN vs FTD,WavLM,0.7549741851416275,0.7321488394880223,0.7764809440785023,0.0,
All Tasks,CN vs FTD,RoBERTa,0.7981931964193604,0.7778641245034543,0.8189277470108705,0.0,
All Tasks,CN vs FTD,Fusion (GMU),0.7938064924723052,0.7746959814464072,0.8141149702361684,0.0,0.4427845925092697
CraftIm Only,AD vs FTD,Classic Audio,0.5516461563522739,0.4879512104053363,0.6166270408205892,0.0,
CraftIm Only,AD vs FTD,Classic Lang,0.5725280258267064,0.510877546417528,0.6340838844717813,0.0,
CraftIm Only,AD vs FTD,Classic Combined,0.5736617945414426,0.5105752720198081,0.6367967673578399,0.0,
CraftIm Only,AD vs FTD,Classic Fusion (GMU),0.5685869355961319,0.5047913648855071,0.6304300271855747,0.0,0.5001972317695618
CraftIm Only,AD vs FTD,WavLM,0.5561036841654007,0.49099486330984593,0.6214251859742886,0.0,
CraftIm Only,AD vs FTD,RoBERTa,0.5927704495031575,0.5306695674011237,0.6566480632346059,0.0,
CraftIm Only,AD vs FTD,Fusion (GMU),0.5597216187862282,0.49702694731911745,0.6219205658816543,0.0,0.4921455383300781
CraftIm Only,CN vs AD,Classic Audio,0.7508296296296297,0.7056708389715609,0.7944802943935374,0.0,
CraftIm Only,CN vs AD,Classic Lang,0.8019506172839506,0.7596422155573148,0.8420992383586768,0.0,
CraftIm Only,CN vs AD,Classic Combined,0.8095061728395061,0.7691924180226531,0.8489631482237734,0.0,
CraftIm Only,CN vs AD,Classic Fusion (GMU),0.8087259259259258,0.769281814510465,0.8473054590386162,0.0,0.5002906769514084
CraftIm Only,CN vs AD,WavLM,0.7796757001957295,0.7373076443581389,0.8208579154375615,0.0,
CraftIm Only,CN vs AD,RoBERTa,0.8399932738168032,0.80232122343458,0.8748673907542681,0.0,
CraftIm Only,CN vs AD,Fusion (GMU),0.8435878006196744,0.8059212068061626,0.8784984014560184,0.0,0.40130430459976196
CraftIm Only,CN vs FTD,Classic Audio,0.6917555940586728,0.6299661350759387,0.7486647894162586,0.0,
CraftIm Only,CN vs FTD,Classic Lang,0.73041650006664,0.6715394253111089,0.7845155574334588,0.0,
CraftIm Only,CN vs FTD,Classic Combined,0.7494780606276008,0.6908537116387065,0.8044795539400644,0.0,
CraftIm Only,CN vs FTD,Classic Fusion (GMU),0.7586686066314214,0.7030333953756942,0.8128308449063166,0.0,0.49994127452373505
CraftIm Only,CN vs FTD,WavLM,0.7296700156795739,0.6725018026489964,0.7845789319587947,0.0,
CraftIm Only,CN vs FTD,RoBERTa,0.7962934567815343,0.7457259072065715,0.8447532967781326,0.0,
CraftIm Only,CN vs FTD,Fusion (GMU),0.7920463831356395,0.7397902864242436,0.8400580299396292,0.0,0.4540140628814697
Fluency Tasks,AD vs FTD,Classic Audio,0.5867695144164555,0.5205569874314482,0.6515892573299767,0.0,
Fluency Tasks,AD vs FTD,Classic Lang,0.6077178758126379,0.5456079658032894,0.6709986197263151,0.0,
Fluency Tasks,AD vs FTD,Classic Combined,0.6098060775689724,0.5468469232838284,0.6706908782068697,0.0,
Fluency Tasks,AD vs FTD,Classic Fusion (GMU),0.5953822174833769,0.5290447856955528,0.657728985033071,0.0,0.5006060898303986
Fluency Tasks,AD vs FTD,WavLM,0.6029645298584692,0.5703072347947705,0.6339371548340227,0.0,
Fluency Tasks,AD vs FTD,RoBERTa,0.6011048647819813,0.5699002867018936,0.6304551041459117,0.0,
Fluency Tasks,AD vs FTD,Fusion (GMU),0.6174814458228961,0.5862926768490038,0.6482040288520599,0.0,0.42622949182987213
Fluency Tasks,CN vs AD,Classic Audio,0.6997876543209876,0.6498242427902889,0.7485360779256316,0.0,
Fluency Tasks,CN vs AD,Classic Lang,0.7966024691358025,0.7589808255435965,0.8356387139285838,0.0,
Fluency Tasks,CN vs AD,Classic Combined,0.805916049382716,0.7684175085711022,0.8423683701937127,0.0,
Fluency Tasks,CN vs AD,Classic Fusion (GMU),0.8106271604938271,0.7731052440457586,0.8496898073946044,0.0,0.5038924813270569
Fluency Tasks,CN vs AD,WavLM,0.699905404989906,0.6746096535415829,0.7237149132208329,0.0,
Fluency Tasks,CN vs AD,RoBERTa,0.7301327405339008,0.7066333623871188,0.7525920659433579,0.0,
Fluency Tasks,CN vs AD,Fusion (GMU),0.737000774725341,0.713728082028317,0.7603392667683322,0.0,0.41395965218544
Fluency Tasks,CN vs FTD,Classic Audio,0.7555257896841263,0.6980346248943985,0.8074624074695951,0.0,
Fluency Tasks,CN vs FTD,Classic Lang,0.8389903297940083,0.795906335528777,0.8818974034274678,0.0,
Fluency Tasks,CN vs FTD,Classic Combined,0.8335344380766212,0.7877898221470396,0.8766475073031873,0.0,
Fluency Tasks,CN vs FTD,Classic Fusion (GMU),0.8366065425681579,0.7915414002659277,0.8793342202160062,0.0,0.5037453323602676
Fluency Tasks,CN vs FTD,WavLM,0.7621715898140559,0.735657487665979,0.7864841547567661,0.0,
Fluency Tasks,CN vs FTD,RoBERTa,0.7905758597384129,0.7658500871541453,0.8157908322775883,0.0,
Fluency Tasks,CN vs FTD,Fusion (GMU),0.7952626431713485,0.7699053215450617,0.8194342562934127,0.0,0.4410151541233063
Fugu Only,AD vs FTD,Classic Audio,0.5704538184726109,0.5068551295753165,0.6297440300839593,0.0,
Fugu Only,AD vs FTD,Classic Lang,0.5587702696699098,0.4954274493055817,0.6226455227259491,0.0,
Fugu Only,AD vs FTD,Classic Combined,0.5756820234869016,0.5144766882712009,0.6370168719923409,0.0,
Fugu Only,AD vs FTD,Classic Fusion (GMU),0.5656229360107808,0.5028954030728461,0.6301450676043869,0.0,0.4992799907922745
Fugu Only,AD vs FTD,WavLM,0.6025159937992532,0.5404334432279638,0.6648392199239657,0.0,
Fugu Only,AD vs FTD,RoBERTa,0.5826330208657278,0.5224666022182372,0.6465936964962354,0.0,
Fugu Only,AD vs FTD,Fusion (GMU),0.6031603051420125,0.5422153425202205,0.6658427933726133,0.0,0.4594321548938751
Fugu Only,CN vs AD,Classic Audio,0.7745432098765432,0.7314787583957546,0.8167922565018025,0.0,
Fugu Only,CN vs AD,Classic Lang,0.8150814814814815,0.7769328376315943,0.8531860888758247,0.0,
Fugu Only,CN vs AD,Classic Combined,0.8254666666666667,0.7879032910986785,0.8633993221001696,0.0,
Fugu Only,CN vs AD,Classic Fusion (GMU),0.8282222222222223,0.7911347022514781,0.8671926834434671,0.0,0.5010859370231628
Fugu Only,CN vs AD,WavLM,0.8089578683035714,0.7658808800721256,0.8465472909554379,0.0,
Fugu Only,CN vs AD,RoBERTa,0.8252246913580246,0.7868826209643338,0.8627972000237958,0.0,
Fugu Only,CN vs AD,Fusion (GMU),0.8272154682185374,0.7875861383115006,0.863146076967511,0.0,0.4473859667778015
Fugu Only,CN vs FTD,Classic Audio,0.7710577991025812,0.7200537460454415,0.8184549233461579,0.0,
Fugu Only,CN vs FTD,Classic Lang,0.8274811556858738,0.779646425177352,0.8700687086620795,0.0,
Fugu Only,CN vs FTD,Classic Combined,0.8283282242658492,0.7785316965708247,0.87046873647153,0.0,
Fugu Only,CN vs FTD,Classic Fusion (GMU),0.825847734980082,0.7775269002523508,0.8683056751579127,0.0,0.49969659745693207
Fugu Only,CN vs FTD,WavLM,0.7863146381057966,0.73138619601797,0.8326558667871433,0.0,
Fugu Only,CN vs FTD,RoBERTa,0.8328141336058169,0.7902800210208553,0.8743290589306987,0.0,
Fugu Only,CN vs FTD,Fusion (GMU),0.8269573916629072,0.7815125204670264,0.8703234377031169,0.0,0.41742302477359766
